merchant_details.business_type,merchant_details.entity_type,merchant_details.state,merchant_details.credit_score,merchant_details.months_in_business,merchant_details.requested_amount,merchant_details.avg_monthly_revenue,lender_offer.lender_name,lender_offer.funding_amount,lender_offer.payment_amount,lender_offer.factor_rate,lender_offer.rtr,lender_offer.terms,lender_offer.term_type
-educational_service-business,Corporation,CT,625,304,0.0,58224.667499999996,Unique ,149.9,5000.0,1.499,7495.0,50,daily
-educational_service-business,Corporation,CT,625,304,0.0,58224.667499999996,Cresthill ,427.952,24000.0,1.48,35520.0,83,daily
sewing%20shops-custom,Corporation,CA,0,565,0.0,56507.43,*API SUB* - Kapitus ,371.014,100000.0,1.28,128000.0,345,daily
sewing%20shops-custom,Corporation,CA,0,565,0.0,56507.43,CAN CAPITAL.,246.98,110222.68,1.21,133369.443,540,daily
sewing%20shops-custom,Corporation,CA,0,565,0.0,56507.43,*API SUB* - OnDeck,200.778,78000.0,1.39,108420.0,540,daily
sewing%20shops-custom,Corporation,CA,0,565,0.0,56507.43,Business Backer - PORTAL,1982.0,94000.0,1.24,116560.0,59,weekly
sewing%20shops-custom,Corporation,CA,0,565,0.0,56507.43,*API SUB* - Credibly,349.117,80800.0,1.145,92516.0,265,daily
towing,Sole proprietorship,TN,0,100,0.0,37920.462857142855,Yellowstone,145.0,8000.0,1.45,11600.0,80,daily
transportation_,,IN,0,167,0.0,442728.22874999995,PROPOSE SUBMISSION - Fora,214.55,18200.0,1.45,26390.0,123,daily
transportation_,,IN,0,167,0.0,442728.22874999995,Tvt Capital,1329.37,125000.0,1.34,167500.0,126,daily
Pest Control,Corporation,AZ,658,360,100000.0,134309.1925,*API SUB* - Forward Financing,4156.25,150000.0,1.33,199500.0,48,weekly
Pest Control,Corporation,AZ,658,360,100000.0,134309.1925,Greenbox,887.68,165700.0,1.35,223695.0,252,daily
Pest Control,Corporation,AZ,658,360,100000.0,134309.1925,BALBOA,413.89,100000.0,1.49,149000.0,360,daily
Pest Control,Corporation,AZ,658,360,100000.0,134309.1925,Kalamata,2802.27,90000.0,1.37,123300.0,44,daily
